date,total_complaints,year_label
2017-06-30,978.2,Jun 2017
2017-12-31,1015.4,Dec 2017
2018-06-30,1105.4,Jun 2018
2018-12-31,770.5,Dec 2018
2019-06-30,690.6999999999999,Jun 2019
2019-12-31,892.7,Dec 2019
2020-06-30,972.1,Jun 2020
2020-12-31,4428.5,Dec 2020
2021-06-30,1278.6,Jun 2021
2021-12-31,1508.4,Dec 2021
2022-06-30,2431.9,Jun 2022
2022-12-31,3329.2,Dec 2022
2023-06-30,1455.3,Jun 2023
2023-12-31,1492.0,Dec 2023
2024-06-30,1821.2,Jun 2024
2024-12-31,1570.8999999999999,Dec 2024
2025-06-30,1962.1000000000001,Jun 2025
