Reporting Date,dispute_rate_per_100k,disputes_lodged,disputes_resolved,decisions_reversed,reversal_rate,year_label
2018-06-30,177.375,,,31.0,,Jun 2018
2018-12-31,190.14285714285714,,,34.0,,Dec 2018
2019-06-30,177.33333333333334,,,49.0,,Jun 2019
2019-12-31,132.375,,,68.0,,Dec 2019
2020-06-30,153.11111111111111,,,83.0,,Jun 2020
2020-12-31,181.14285714285714,,,58.0,,Dec 2020
2021-06-30,166.0,,,31.0,,Jun 2021
2021-12-31,907.6250000000001,,,34.0,,Dec 2021
2022-06-30,221.8166666666667,596.0,505.0,46.0,0.09108910891089109,Jun 2022
2022-12-31,279.25,769.0,663.0,45.0,0.06787330316742081,Dec 2022
2023-06-30,421.1,798.0,676.0,33.0,0.04881656804733728,Jun 2023
2023-12-31,577.725,747.0,663.0,38.0,0.05731523378582202,Dec 2023
2024-06-30,255.87142857142857,726.0,625.0,39.0,0.0624,Jun 2024
2024-12-31,259.35714285714283,708.0,610.0,43.0,0.07049180327868852,Dec 2024
2025-06-30,306.8285714285715,745.0,630.0,50.0,0.07936507936507936,Jun 2025
